City;Region;Province;Areakm2;Population
Kostrzyn nad Odrą;gorzowski;lubuskie;46.14;18155
Witnica;gorzowski;lubuskie;8.24;6923
Gorzów Wielkopolski;Gorzów Wielkopolski[a];lubuskie;85.72;124145
Gubin;krośnieński;lubuskie;20.68;16874
Krosno Odrzańskie;krośnieński;lubuskie;8.15;11799
Międzyrzecz;międzyrzecki;lubuskie;10.26;18459
Skwierzyna;międzyrzecki;lubuskie;35.89;9805
Trzciel;międzyrzecki;lubuskie;3.04;2501
Bytom Odrzański;nowosolski;lubuskie;2.3;4420
Kożuchów;nowosolski;lubuskie;5.94;9711
Nowa Sól;nowosolski;lubuskie;21.8;39571
Nowe Miasteczko;nowosolski;lubuskie;3.29;2897
Cybinka;słubicki;lubuskie;5.29;2778
Ośno Lubuskie;słubicki;lubuskie;8.01;3856
Rzepin;słubicki;lubuskie;11.42;6660
Słubice;słubicki;lubuskie;19.21;16914
Dobiegniew;strzelecko-drezdenecki;lubuskie;5.69;3125
Drezdenko;strzelecko-drezdenecki;lubuskie;10.72;10388
Strzelce Krajeńskie;strzelecko-drezdenecki;lubuskie;5.54;10118
Lubniewice;sulęciński;lubuskie;12.11;2076
Sulęcin;sulęciński;lubuskie;8.56;10278
Torzym;sulęciński;lubuskie;9.11;2571
Świebodzin;świebodziński;lubuskie;16.93;22008
Zbąszynek;świebodziński;lubuskie;3.58;5060
Sława;wschowski;lubuskie;14.9;4299
Szlichtyngowa;wschowski;lubuskie;1.55;1289
Wschowa;wschowski;lubuskie;9.25;14265
Zielona Góra;Zielona Góra[a];lubuskie;278.32;138512
Babimost;zielonogórski;lubuskie;3.65;3999
Czerwieńsk;zielonogórski;lubuskie;9.36;4159
Kargowa;zielonogórski;lubuskie;4.55;3768
Nowogród Bobrzański;zielonogórski;lubuskie;14.63;5151
Sulechów;zielonogórski;lubuskie;6.88;17322
Gozdnica;żagański;lubuskie;23.88;3228
Iłowa;żagański;lubuskie;9.18;3996
Małomice;żagański;lubuskie;5.37;3571
Szprotawa;żagański;lubuskie;10.95;12252
Żagań;żagański;lubuskie;40.38;26426
Jasień;żarski;lubuskie;4.79;4449
Lubsko;żarski;lubuskie;12.51;14451
Łęknica;żarski;lubuskie;16.43;2578
Żary;żarski;lubuskie;33.49;38527
Bełchatów;bełchatowski;łódzkie;34.64;59305
Zelów;bełchatowski;łódzkie;10.75;7785
Brzeziny;brzeziński;łódzkie;21.58;12587
Krośniewice;kutnowski;łódzkie;4.18;4498
Kutno;kutnowski;łódzkie;33.59;45371
Żychlin;kutnowski;łódzkie;8.68;8537
Łask;łaski;łódzkie;15.67;17897
Łęczyca;łęczycki;łódzkie;8.95;14660
Łowicz;łowicki;łódzkie;23.42;29169
Koluszki;łódzki wschodni;łódzkie;9.9;13370
Rzgów;łódzki wschodni;łódzkie;16.77;3393
Tuszyn;łódzki wschodni;łódzkie;23.25;7309
Łódź;Łódź[a];łódzkie;293.25;706004
Drzewica;opoczyński;łódzkie;4.81;3984
Opoczno;opoczyński;łódzkie;24.75;21965
Konstantynów Łódzki;pabianicki;łódzkie;27.25;17857
Pabianice;pabianicki;łódzkie;32.99;67207
Działoszyn;pajęczański;łódzkie;4.94;6147
Pajęczno;pajęczański;łódzkie;20.23;6791
Sulejów;piotrkowski;łódzkie;26.26;6360
Wolbórz;piotrkowski;łódzkie;15.18;2362
Piotrków Trybunalski;Piotrków Trybunalski[a];łódzkie;67.24;75608
Poddębice;poddębicki;łódzkie;5.87;7771
Uniejów;poddębicki;łódzkie;12.23;3051
Kamieńsk;radomszczański;łódzkie;11.99;2875
Przedbórz;radomszczański;łódzkie;6.08;3697
Radomsko;radomszczański;łódzkie;51.43;47399
Biała Rawska;rawski;łódzkie;9.53;3237
Rawa Mazowiecka;rawski;łódzkie;14.28;17737
Błaszki;sieradzki;łódzkie;1.62;2241
Sieradz;sieradzki;łódzkie;51.22;43071
Warta;sieradzki;łódzkie;10.85;3339
Złoczew;sieradzki;łódzkie;13.79;3378
Skierniewice;Skierniewice[a];łódzkie;34.6;48660
Tomaszów Mazowiecki;tomaszowski;łódzkie;41.3;64513
Wieluń;wieluński;łódzkie;16.87;23300
Wieruszów;wieruszowski;łódzkie;5.97;8653
Szadek;zduńskowolski;łódzkie;17.93;2024
Zduńska Wola;zduńskowolski;łódzkie;24.57;43310
Aleksandrów Łódzki;zgierski;łódzkie;13.82;21224
Głowno;zgierski;łódzkie;19.84;14759
Ozorków;zgierski;łódzkie;15.46;20068
Stryków;zgierski;łódzkie;8.15;3536
Zgierz;zgierski;łódzkie;42.33;57390
Bochnia;bocheński;małopolskie;29.87;30104
Nowy Wiśnicz;bocheński;małopolskie;4.97;2767
Brzesko;brzeski;małopolskie;11.83;17090
Czchów;brzeski;małopolskie;14.09;2364
Alwernia;chrzanowski;małopolskie;8.88;3435
Chrzanów;chrzanowski;małopolskie;38.32;37898
Libiąż;chrzanowski;małopolskie;35.85;17284
Trzebinia;chrzanowski;małopolskie;31.94;20127
Dąbrowa Tarnowska;dąbrowski;małopolskie;23.07;11881
Szczucin;dąbrowski;małopolskie;6.85;4189
Biecz;gorlicki;małopolskie;17.71;4728
Bobowa;gorlicki;małopolskie;7.18;3006
Gorlice;gorlicki;małopolskie;23.53;28255
Krzeszowice;krakowski;małopolskie;16.97;10173
Skała;krakowski;małopolskie;2.97;3800
Skawina;krakowski;małopolskie;20.5;24203
Słomniki;krakowski;małopolskie;3.43;4402
Świątniki Górne;krakowski;małopolskie;4.44;2400
Kraków;Kraków[a];małopolskie;326.85;761873
Limanowa;limanowski;małopolskie;18.7;15078
Mszana Dolna;limanowski;małopolskie;27.1;7890
Miechów;miechowski;małopolskie;15.49;11830
Dobczyce;myślenicki;małopolskie;12.97;6449
Myślenice;myślenicki;małopolskie;30.22;18346
Sułkowice;myślenicki;małopolskie;16.46;6537
Grybów;nowosądecki;małopolskie;16.95;6063
Krynica-Zdrój;nowosądecki;małopolskie;39.68;10992
Muszyna;nowosądecki;małopolskie;24.43;5028
Piwniczna-Zdrój;nowosądecki;małopolskie;38.3;5967
Stary Sącz;nowosądecki;małopolskie;15;9040
Nowy Targ;nowotarski;małopolskie;51.07;33598
Rabka-Zdrój;nowotarski;małopolskie;36.31;13082
Szczawnica;nowotarski;małopolskie;32.9;5972
Nowy Sącz;Nowy Sącz[a];małopolskie;57.58;83853
Bukowno;olkuski;małopolskie;64.59;10336
Olkusz;olkuski;małopolskie;25.65;36477
Wolbrom;olkuski;małopolskie;10.12;8823
Brzeszcze;oświęcimski;małopolskie;19.04;11560
Chełmek;oświęcimski;małopolskie;8.27;9198
Kęty;oświęcimski;małopolskie;23.05;19062
Oświęcim;oświęcimski;małopolskie;30;39444
Zator;oświęcimski;małopolskie;11.52;3700
Nowe Brzesko;proszowicki;małopolskie;7.26;1667
Proszowice;proszowicki;małopolskie;7.33;6158
Jordanów;suski;małopolskie;21.03;5305
Maków Podhalański;suski;małopolskie;20.12;5980
Sucha Beskidzka;suski;małopolskie;27.65;9414
Ciężkowice;tarnowski;małopolskie;9.99;2496
Radłów;tarnowski;małopolskie;16.83;2766
Ryglice;tarnowski;małopolskie;25.15;2870
Tuchów;tarnowski;małopolskie;18.1;6724
Wojnicz;tarnowski;małopolskie;8.5;3401
Zakliczyn;tarnowski;małopolskie;4.02;1661
Żabno;tarnowski;małopolskie;11.13;4214
Tarnów;Tarnów[a];małopolskie;72.38;111376
Zakopane;tatrzański;małopolskie;84.26;27556
Andrychów;wadowicki;małopolskie;10.33;20993
Kalwaria Zebrzydowska;wadowicki;małopolskie;5.5;4603
Wadowice;wadowicki;małopolskie;10.54;19254
Białobrzegi;białobrzeski;mazowieckie;7.51;7110
Wyśmierzyce;białobrzeski;mazowieckie;16.84;921
Ciechanów;ciechanowski;mazowieckie;32.78;44585
Glinojeck;ciechanowski;mazowieckie;7.37;3113
Garwolin;garwoliński;mazowieckie;22.08;17174
Łaskarzew;garwoliński;mazowieckie;15.35;4910
Pilawa;garwoliński;mazowieckie;6.62;4484
Żelechów;garwoliński;mazowieckie;12.13;4061
Gostynin;gostyniński;mazowieckie;32.4;18947
Grodzisk Mazowiecki;grodziski;mazowieckie;13.19;30180
Milanówek;grodziski;mazowieckie;13.44;16353
Podkowa Leśna;grodziski;mazowieckie;10.13;3845
Grójec;grójecki;mazowieckie;8.57;16534
Mogielnica;grójecki;mazowieckie;12.98;2352
Nowe Miasto nad Pilicą;grójecki;mazowieckie;11.25;3890
Warka;grójecki;mazowieckie;26.77;11777
Kozienice;kozienicki;mazowieckie;10.45;18064
Legionowo;legionowski;mazowieckie;13.54;54272
Serock;legionowski;mazowieckie;13.43;4175
Lipsko;lipski;mazowieckie;15.7;5732
Łosice;łosicki;mazowieckie;23.74;7102
Warszawa;m. st. Warszawa[a];mazowieckie;517.24;1735442
Maków Mazowiecki;makowski;mazowieckie;10.28;10077
Różan;makowski;mazowieckie;6.66;2729
Halinów;miński;mazowieckie;2.84;3675
Kałuszyn;miński;mazowieckie;12.3;2938
Mińsk Mazowiecki;miński;mazowieckie;13.18;40211
Mrozy;miński;mazowieckie;7.73;3528
Sulejówek;miński;mazowieckie;19.31;19411
Mława;mławski;mazowieckie;34.8;30968
Nasielsk;nowodworski;mazowieckie;12.57;7629
Nowy Dwór Mazowiecki;nowodworski;mazowieckie;28.21;28364
Zakroczym;nowodworski;mazowieckie;19.97;3231
Myszyniec;ostrołęcki;mazowieckie;11.22;3294
Ostrołęka;Ostrołęka[a];mazowieckie;28.63;52611
Brok;ostrowski;mazowieckie;28.06;1984
Ostrów Mazowiecka;ostrowski;mazowieckie;22.27;22792
Józefów;otwocki;mazowieckie;23.91;20137
Karczew;otwocki;mazowieckie;28.12;10082
Otwock;otwocki;mazowieckie;47.31;45025
Góra Kalwaria;piaseczyński;mazowieckie;13.67;11658
Konstancin-Jeziorna;piaseczyński;mazowieckie;17.74;17311
Piaseczno;piaseczyński;mazowieckie;16.22;45567
Tarczyn;piaseczyński;mazowieckie;5.23;4089
Płock;Płock[a];mazowieckie;88.04;122224
Drobin;płocki;mazowieckie;9.65;2963
Gąbin;płocki;mazowieckie;27.95;4183
Wyszogród;płocki;mazowieckie;12.97;2705
Płońsk;płoński;mazowieckie;11.6;22379
Raciąż;płoński;mazowieckie;8.4;4647
Brwinów;pruszkowski;mazowieckie;10.1;13178
Piastów;pruszkowski;mazowieckie;5.76;22870
Pruszków;pruszkowski;mazowieckie;19.19;60068
Chorzele;przasnyski;mazowieckie;17.51;2972
Przasnysz;przasnyski;mazowieckie;25.16;17296
Przysucha;przysuski;mazowieckie;7.02;6068
Pułtusk;pułtuski;mazowieckie;23.07;19236
Radom;Radom[a];mazowieckie;111.8;217201
Iłża;radomski;mazowieckie;15.83;4991
Pionki;radomski;mazowieckie;18.4;19168
Skaryszew;radomski;mazowieckie;27.49;4335
Siedlce;Siedlce[a];mazowieckie;31.86;76603
Mordy;siedlecki;mazowieckie;4.54;1797
Sierpc;sierpecki;mazowieckie;18.59;18453
Sochaczew;sochaczewski;mazowieckie;26.19;37201
Kosów Lacki;sokołowski;mazowieckie;11.57;2152
Sokołów Podlaski;sokołowski;mazowieckie;17.51;18743
Szydłowiec;szydłowiecki;mazowieckie;21.89;12049
Błonie;warszawski zachodni;mazowieckie;9.09;12479
Łomianki;warszawski zachodni;mazowieckie;8.4;16617
Ożarów Mazowiecki;warszawski zachodni;mazowieckie;8.13;10880
Łochów;węgrowski;mazowieckie;13.39;6809
Węgrów;węgrowski;mazowieckie;35.51;12795
Kobyłka;wołomiński;mazowieckie;19.64;21341
Marki;wołomiński;mazowieckie;26.15;29722
Radzymin;wołomiński;mazowieckie;23.39;11698
Tłuszcz;wołomiński;mazowieckie;7.91;8041
Wołomin;wołomiński;mazowieckie;17.24;37389
Ząbki;wołomiński;mazowieckie;10.98;32844
Zielonka;wołomiński;mazowieckie;79.48;17459
Wyszków;wyszkowski;mazowieckie;20.78;27173
Zwoleń;zwoleński;mazowieckie;15.91;8065
Bieżuń;żuromiński;mazowieckie;12.07;1890
Żuromin;żuromiński;mazowieckie;11.18;9015
Mszczonów;żyrardowski;mazowieckie;8.56;6445
Żyrardów;żyrardowski;mazowieckie;14.35;41003
Brzeg;brzeski;opolskie;14.61;36675
Grodków;brzeski;opolskie;9.88;8816
Lewin Brzeski;brzeski;opolskie;11.64;5940
Baborów;głubczycki;opolskie;11.86;3009
Głubczyce;głubczycki;opolskie;12.54;12911
Kietrz;głubczycki;opolskie;18.74;6167
Kędzierzyn-Koźle;kędzierzyńsko-kozielski;opolskie;123.71;62840
Byczyna;kluczborski;opolskie;5.79;3678
Kluczbork;kluczborski;opolskie;12.35;24410
Wołczyn;kluczborski;opolskie;7.47;5967
Gogolin;krapkowicki;opolskie;20.35;6529
Krapkowice;krapkowicki;opolskie;21.01;16851
Zdzieszowice;krapkowicki;opolskie;12.35;11899
Namysłów;namysłowski;opolskie;22.61;16126
Głuchołazy;nyski;opolskie;6.83;14092
Korfantów;nyski;opolskie;10.23;1881
Nysa;nyski;opolskie;27.51;44775
Otmuchów;nyski;opolskie;27.82;5038
Paczków;nyski;opolskie;6.6;7785
Dobrodzień;oleski;opolskie;19.53;3773
Gorzów Śląski;oleski;opolskie;18.54;2508
Olesno;oleski;opolskie;15.08;9527
Praszka;oleski;opolskie;9.35;7907
Opole;Opole[a];opolskie;96.55;119574
Niemodlin;opolski;opolskie;13.11;6586
Ozimek;opolski;opolskie;3.25;9119
Prószków;opolski;opolskie;16.22;2721
Biała;prudnicki;opolskie;14.72;2496
Głogówek;prudnicki;opolskie;22.06;5702
Prudnik;prudnicki;opolskie;20.5;21676
Kolonowskie;strzelecki;opolskie;55.7;3361
Leśnica;strzelecki;opolskie;14.5;2690
Strzelce Opolskie;strzelecki;opolskie;29.97;18373
Ujazd;strzelecki;opolskie;14.76;1723
Zawadzkie;strzelecki;opolskie;16.46;7493
Ustrzyki Dolne;bieszczadzki;podkarpackie;16.79;9383
Brzozów;brzozowski;podkarpackie;11.46;7548
Brzostek;dębicki;podkarpackie;8.76;2716
Dębica;dębicki;podkarpackie;33.83;46568
Pilzno;dębicki;podkarpackie;16.04;4802
Jarosław;jarosławski;podkarpackie;34.61;38796
Pruchnik;jarosławski;podkarpackie;19.91;3747
Radymno;jarosławski;podkarpackie;13.62;5433
Jasło;jasielski;podkarpackie;36.52;36260
Kołaczyce;jasielski;podkarpackie;7.15;1437
Kolbuszowa;kolbuszowski;podkarpackie;7.94;9270
Krosno;Krosno[a];podkarpackie;43.5;46934
Dukla;krośnieński;podkarpackie;5.48;2122
Iwonicz-Zdrój;krośnieński;podkarpackie;5.89;1839
Jedlicze;krośnieński;podkarpackie;10.6;5775
Rymanów;krośnieński;podkarpackie;12.39;3715
Lesko;leski;podkarpackie;15.33;5615
Leżajsk;leżajski;podkarpackie;20.58;14252
Nowa Sarzyna;leżajski;podkarpackie;9.15;6102
Cieszanów;lubaczowski;podkarpackie;15.06;1985
Lubaczów;lubaczowski;podkarpackie;25.73;12416
Narol;lubaczowski;podkarpackie;12.42;2107
Oleszyce;lubaczowski;podkarpackie;5.08;3093
Łańcut;łańcucki;podkarpackie;19.42;17982
Mielec;mielecki;podkarpackie;46.89;60827
Przecław;mielecki;podkarpackie;16.04;1723
Radomyśl Wielki;mielecki;podkarpackie;8.79;3104
Nisko;niżański;podkarpackie;60.96;15453
Rudnik nad Sanem;niżański;podkarpackie;36.6;6811
Ulanów;niżański;podkarpackie;8.2;1447
Przemyśl;Przemyśl[a];podkarpackie;46.17;63441
Kańczuga;przeworski;podkarpackie;7.6;3237
Przeworsk;przeworski;podkarpackie;22.13;15681
Sieniawa;przeworski;podkarpackie;6.74;2157
Ropczyce;ropczycko-sędziszowski;podkarpackie;47.1;15722
Sędziszów Małopolski;ropczycko-sędziszowski;podkarpackie;9.96;7492
Błażowa;rzeszowski;podkarpackie;4.23;2188
Boguchwała;rzeszowski;podkarpackie;9.11;5905
Dynów;rzeszowski;podkarpackie;24.55;6178
Głogów Małopolski;rzeszowski;podkarpackie;13.71;6190
Sokołów Małopolski;rzeszowski;podkarpackie;15.54;4047
Tyczyn;rzeszowski;podkarpackie;9.67;3638
Rzeszów;Rzeszów[a];podkarpackie;116.36;185123
Sanok;sanocki;podkarpackie;38.08;38818
Zagórz;sanocki;podkarpackie;22.29;5073
Stalowa Wola;stalowowolski;podkarpackie;82.52;63291
Zaklików;stalowowolski;podkarpackie;11.42;3064
Strzyżów;strzyżowski;podkarpackie;13.89;8955
Tarnobrzeg;Tarnobrzeg[a];podkarpackie;85.4;48000
Baranów Sandomierski;tarnobrzeski;podkarpackie;9.15;1463
Nowa Dęba;tarnobrzeski;podkarpackie;16.7;11403
Augustów;augustowski;podlaskie;80.9;30482
Lipsk;augustowski;podlaskie;4.98;2440
Choroszcz;białostocki;podlaskie;16.79;5759
